size, addfirst(ms), addlast(ms), addrandpos(ms), removefirst(ms), removelast(ms), removerandpos(ms), getrandpos(ms)
4821, 4.155e-05, 3.885e-05, 0.00262488, 3.4e-05, 3.515e-05, 0.00262121, 0.00276068
462, 3.935e-05, 3.235e-05, 0.00027329, 3.38e-05, 3.635e-05, 0.000288955, 0.00029595
9250, 3.185e-05, 3.08e-05, 0.00550881, 3.43e-05, 3.4e-05, 0.00621998, 0.00608751
6919, 3.51e-05, 3.16e-05, 0.00480122, 3.49e-05, 3.485e-05, 0.00457552, 0.00474599
5392, 5.675e-05, 4.965e-05, 0.00355075, 3.365e-05, 3.325e-05, 0.00425853, 0.00378184
2528, 3.63e-05, 3.105e-05, 0.00166777, 3.175e-05, 3.365e-05, 0.00163727, 0.00167717
2308, 3.335e-05, 3.15e-05, 0.00151723, 3.23e-05, 3.32e-05, 0.00148033, 0.00146542
451, 3.285e-05, 3.2e-05, 0.000280145, 3.11e-05, 3.29e-05, 0.000287465, 0.00026894
6882, 3.055e-05, 3.09e-05, 0.00508965, 3.28e-05, 3.24e-05, 0.00537102, 0.00520285
5170, 4.14e-05, 3.735e-05, 0.00418461, 3.59e-05, 3.565e-05, 0.00408301, 0.00374602
1931, 3.575e-05, 3.265e-05, 0.00139591, 6.585e-05, 3.9e-05, 0.00134577, 0.00130509
6196, 4.335e-05, 4.7e-05, 0.00417434, 5.4e-05, 4.23e-05, 0.00437292, 0.00421373
5324, 4.405e-05, 3.22e-05, 0.004148, 4.8e-05, 4.69e-05, 0.00369391, 0.00366912
5320, 3.59e-05, 3.185e-05, 0.00383926, 4.515e-05, 4.93e-05, 0.00330472, 0.00376628
4208, 4.16e-05, 3.475e-05, 0.00285206, 3.375e-05, 3.345e-05, 0.00286033, 0.00280515
6651, 3.115e-05, 2.895e-05, 0.00418129, 3.235e-05, 3.365e-05, 0.0050445, 0.00508616
2717, 4.865e-05, 3.315e-05, 0.00154948, 3.96e-05, 4.13e-05, 0.00182262, 0.00198828
1508, 4.645e-05, 3.535e-05, 0.000999865, 4.975e-05, 3.61e-05, 0.00099745, 0.00104031
9845, 4.8e-05, 5.27e-05, 0.00781037, 3.395e-05, 3.565e-05, 0.00723695, 0.00799608
5797, 3.795e-05, 4.175e-05, 0.00435601, 3.575e-05, 3.475e-05, 0.00411082, 0.00417754
9793, 4.17e-05, 3.675e-05, 0.00692028, 4.34e-05, 5.54e-05, 0.00708068, 0.00730391
1806, 4.555e-05, 3.895e-05, 0.00121838, 3.835e-05, 3.58e-05, 0.00130379, 0.00124638
2993, 5.27e-05, 3.325e-05, 0.00213851, 5.79e-05, 3.975e-05, 0.00197009, 0.00183163
903, 3.5e-05, 3.115e-05, 0.000506785, 3.29e-05, 3.315e-05, 0.00051044, 0.000490195
271, 3.765e-05, 3.09e-05, 0.00018153, 3.155e-05, 3.25e-05, 0.00017351, 0.000178345
8306, 3.38e-05, 3.055e-05, 0.00600864, 3.335e-05, 3.425e-05, 0.0057586, 0.00618821
8639, 3.23e-05, 2.99e-05, 0.00738875, 3.24e-05, 3.635e-05, 0.00689411, 0.00651508
3697, 8.075e-05, 5.32e-05, 0.00282603, 5.03e-05, 4.895e-05, 0.00294917, 0.00262594
658, 4.035e-05, 3.35e-05, 0.00041392, 5.24e-05, 4.88e-05, 0.00038187, 0.00043123
7887, 2.99e-05, 3.05e-05, 0.00632054, 4.41e-05, 4.375e-05, 0.00684727, 0.00630173
