size, addfirst(ms), addlast(ms), addrandpos(ms), removefirst(ms), removelast(ms), removerandpos(ms), getrandpos(ms)
35329, 4.53e-05, 0.09303025, 0.46184795, 0.00012515, 0.1289464, 0.55389425, 0.70697685
50474, 3.795e-05, 0.12594295, 0.64496935, 8.42e-05, 0.1720774, 0.76908535, 1.0710082
76614, 3.895e-05, 0.19208165, 0.9191667, 5.345e-05, 0.23028375, 1.1296427, 1.5270252
93869, 4.01e-05, 0.23928115, 1.1546456, 5.605e-05, 0.27542165, 1.3678171, 1.8683226
78506, 3.975e-05, 0.1976637, 0.95943645, 4.295e-05, 0.2340005, 1.1801868, 1.5352629
91615, 3.36e-05, 0.25880325, 1.2494427, 5.775e-05, 0.28178015, 1.4922804, 2.0163422
105, 4.45e-05, 0.00031605, 0.00279655, 4.015e-05, 0.00093015, 0.0029183, 0.00212775
48433, 3.225e-05, 0.15798475, 0.79077895, 4.49e-05, 0.16678845, 0.79929125, 1.2350453
70719, 3.38e-05, 0.25157955, 1.2037109, 7.145e-05, 0.246467, 1.1895431, 1.8602183
17993, 4.535e-05, 0.06073545, 0.2917766, 4.185e-05, 0.0642335, 0.3128536, 0.4676895
86101, 3.235e-05, 0.2818035, 1.3793349, 5.51e-05, 0.30307865, 1.5436029, 2.2268958
32758, 4.3e-05, 0.1057996, 0.50820595, 4.1e-05, 0.114152, 0.57978545, 0.78111955
29625, 3.705e-05, 0.09801345, 0.51462215, 3.99e-05, 0.1053949, 0.531548, 0.7675345
84878, 3.17e-05, 0.2928655, 1.4296693, 4.42e-05, 0.3088796, 1.5218144, 2.2435587
74914, 3.985e-05, 0.26624915, 1.2332371, 4.54e-05, 0.2789522, 1.4555418, 1.9292572
15306, 6.075e-05, 0.05504775, 0.27530295, 4.475e-05, 0.05856445, 0.2674964, 0.4181853
29687, 4.17e-05, 0.10915605, 0.54810065, 4.43e-05, 0.1159701, 0.58718985, 0.87829685
22868, 4.305e-05, 0.08619235, 0.4375216, 4.34e-05, 0.09086895, 0.42249575, 0.6572295
16062, 3.81e-05, 0.0604941, 0.3104146, 4.045e-05, 0.0639975, 0.3222379, 0.46482345
35737, 3.16e-05, 0.14139315, 0.70637715, 4.98e-05, 0.1441785, 0.7673494, 1.0218494
95926, 8.435e-05, 0.353455, 1.7457539, 5.35e-05, 0.3737384, 1.8476561, 2.697954
